batchnumber,orderdate,orderid,productcode,productname,quantity,productprice,productweight,pulldate,dummyfield
1779,20100620,7418,C139-1LB,East Timor French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1779,20100620,7419,C162-1LB,Easygoing Espresso Blend Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1779,20100620,7419,C111-1LB,Nicaragua Medium Roast Coffee - 1 pound,1,10.45,1,9/27/2010 4:31,x
1779,20100620,7420,C123-5LB,Sumatra Viennese Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1779,20100620,7421,C129-2LB,Peru Viennese Roast Coffee - 2 pound,2,19.95,2,9/27/2010 4:31,x
1779,20100620,7422,C162-5LB,Easygoing Espresso Blend Full City Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1779,20100621,7423,C124-1LB,Mexico Oaxaca Full City Roast Coffee - 1 pound,1,10.45,1,9/27/2010 4:31,x
1779,20100621,7423,C159-1LB,Maty's Blend Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1779,20100621,7424,C116-5LB,Colombia Medium Roast Coffee - 5 pound,1,47.95,5,9/27/2010 4:31,x
1780,20100621,7425,C155-5LB,BRAG Brew Viennese Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1780,20100621,7426,C139-3LB,East Timor French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1780,20100621,7426,C123-5LB,Sumatra Viennese Roast Coffee - 5 pound,3,49.95,5,9/27/2010 4:31,x
1781,20100622,7429,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1781,20100622,7429,C137-1LB,Bolivia French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1781,20100622,7429,C123-1LB,Sumatra Viennese Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1781,20100622,7429,C136-1LB,Colombia French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1781,20100622,7431,C124-5LB,Mexico Oaxaca Full City Roast Coffee - 5 pound,1,47.45,5,9/27/2010 4:31,x
1781,20100623,7432,C124-2LB,Mexico Oaxaca Full City Roast Coffee - 2 pound,1,19.95,2,9/27/2010 4:31,x
1781,20100623,7441,C125-2LB,Ethiopia Sidamo Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1781,20100623,7441,C155-2LB,BRAG Brew Viennese Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1783,20100623,7442,C137-5LB,Bolivia French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7442,C136-5LB,Colombia French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7442,C150-5LB,Justice Blend Full City Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7442,C152-5LB,Critical Mass Blend French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7442,C155-5LB,BRAG Brew Viennese Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7442,C166-5LB,Half Caff Blend French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1783,20100623,7443,C165-1LB,Half Caff Blend Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1783,20100623,7444,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1783,20100623,7444,C110-1LB,Tanzania Peaberry Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1783,20100623,7445,C111-5LB,Nicaragua Medium Roast Coffee - 5 pound,1,47.45,5,9/27/2010 4:31,x
1783,20100623,7447,C125-1LB,Ethiopia Sidamo Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1784,20100624,7448,C131-5LB,Nicaragua French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1784,20100624,7448,C171-1LB,House Blend Decaf French Roast Coffee - 1 pound,1,11.25,1,9/27/2010 4:31,x
1784,20100624,7449,C122-2LB,Guatemala Full City Roast Coffee - 2 pound,1,19.95,2,9/27/2010 4:31,x
1784,20100624,7450,C170-2LB,House Blend Decaf Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1784,20100624,7450,C155-1LB,BRAG Brew Viennese Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1784,20100624,7451,C155-2LB,BRAG Brew Viennese Roast Coffee - 2 pound,2,20.95,2,9/27/2010 4:31,x
1785,20100625,7453,C152-5LB,Critical Mass Blend French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1785,20100625,7455,C153-2LB,Mad Poet Blend Viennese Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100625,7455,C110-2LB,Tanzania Peaberry Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100625,7455,C117-2LB,El Salvador Viennese Roast Coffee - 2 pound,1,19.95,2,9/27/2010 4:31,x
1785,20100625,7455,C123-1LB,Sumatra Viennese Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100625,7455,C170-2LB,House Blend Decaf Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100626,7456,C179-5LB,Type A Espresso Blend French Roast Coffee - 5 pound,1,49.95,5,9/27/2010 4:31,x
1785,20100626,7457,C118-2LB,Ethiopia Yirgacheffe Medium Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100627,7458,C161-1LB,A Sign of Relief Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100627,7458,C150-1LB,Justice Blend Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100627,7459,C136-2LB,Colombia French Roast Coffee - 2 pound,2,20.95,2,9/27/2010 4:31,x
1785,20100627,7460,C139-1LB,East Timor French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100627,7460,C125-2LB,Ethiopia Sidamo Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100627,7460,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100627,7461,C125-2LB,Ethiopia Sidamo Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100628,7462,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100623,7446,C159-2LB,Maty's Blend Full City Roast Coffee - 2 pound,1,20.95,2,9/27/2010 4:31,x
1785,20100623,7446,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100623,7446,C110-1LB,Tanzania Peaberry Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100623,7446,C153-1LB,Mad Poet Blend Viennese Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100623,7446,C150-1LB,Justice Blend Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1785,20100623,7446,C179-1LB,Type A Espresso Blend French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7463,C131-1LB,Nicaragua French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7463,C137-1LB,Bolivia French Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7464,C110-1LB,Tanzania Peaberry Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7464,C117-1LB,El Salvador Viennese Roast Coffee - 1 pound,1,10.45,1,9/27/2010 4:31,x
1788,20100628,7464,C172-1LB,Decaf Espresso Blend Full City Roast Coffee - 1 pound,1,11.25,1,9/27/2010 4:31,x
1788,20100628,7464,C144-1LB,Brazil Viennese Roast - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7464,C170-1LB,House Blend Decaf Full City Roast Coffee - 1 pound,1,11.25,1,9/27/2010 4:31,x
1788,20100628,7465,C110-1LB,Tanzania Peaberry Full City Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7465,C124-1LB,Mexico Full City Roast Coffee - 1 pound,1,10.45,1,9/27/2010 4:31,x
1788,20100628,7465,C151-1LB,Benevolent Blend Medium Roast Coffee - 1 pound,1,10.95,1,9/27/2010 4:31,x
1788,20100628,7466,C122-2LB,Guatemala Full City Roast Coffee - 2 pound,1,19.95,2,9/27/2010 4:31,x
