batchnumber,orderdate,orderid,productcode,productname,quantity,productprice,productweight,pulldate,dummyfield
"1298","20090105","3641","C118-1LB","No Product Name","2","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090105","3641","C116-1LB","No Product Name","2","10.45","1","4/14/2009 7:16:44 AM","x"
"1298","20090105","3641","C139-1LB","No Product Name","2","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090105","3643","C116-1LB","No Product Name","6","10.45","1","4/14/2009 7:16:44 AM","x"
"1298","20090105","3644","C139-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1298","20090105","3644","C171-1LB","No Product Name","1","11.25","1","4/14/2009 7:16:44 AM","x"
"1298","20090105","3645","C137-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1298","20090106","3647","C182-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090106","3647","C162-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090106","3647","C179-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090106","3647","C153-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1298","20090106","3648","C136-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1299","20090106","3649","C127-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1299","20090106","3649","C125-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1299","20090106","3649","C139-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1299","20090106","3649","C153-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1299","20090106","3650","C124-1LB","No Product Name","5","10.45","1","4/14/2009 7:16:44 AM","x"
"1299","20090106","3650","C124-1LB","No Product Name","5","10.45","1","4/14/2009 7:16:44 AM","x"
"1299","20090106","3651","C131-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1300","20090107","3656","C131-1LB","No Product Name","2","10.45","1","4/14/2009 7:16:44 AM","x"
"1300","20090107","3657","C170-1LB","No Product Name","3","11.25","1","4/14/2009 7:16:44 AM","x"
"1300","20090107","3657","C171-1LB","No Product Name","3","11.25","1","4/14/2009 7:16:44 AM","x"
"1300","20090107","3658","C111-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1300","20090107","3658","C118-2LB","No Product Name","2","20.95","2","4/14/2009 7:16:44 AM","x"
"1300","20090107","3659","C111-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1300","20090107","3659","C111-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1300","20090108","3660","C111-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1300","20090108","3660","C171-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1301","20090108","3663","C131-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1301","20090108","3664","C139-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1301","20090108","3665","C171-1LB","No Product Name","4","11.25","1","4/14/2009 7:16:44 AM","x"
"1301","20090108","3666","C152-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1301","20090108","3667","C129-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3671","C155-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1303","20090109","3672","C155-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3672","C162-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3673","C150-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1303","20090109","3673","C157-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3674","C118-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3674","C127-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3674","C125-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3674","C170-1LB","No Product Name","3","11.25","1","4/14/2009 7:16:44 AM","x"
"1303","20090109","3675","C123-2LB","No Product Name","2","20.95","2","4/14/2009 7:16:44 AM","x"
"1303","20090109","3675","C139-2LB","No Product Name","2","20.95","2","4/14/2009 7:16:44 AM","x"
"1303","20090110","3676","C165-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1303","20090110","3677","C124-5LB","No Product Name","3","47.45","5","4/14/2009 7:16:44 AM","x"
"1303","20090110","3677","C139-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1303","20090110","3678","C111-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1303","20090110","3678","C109-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1303","20090110","3679","C157-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1303","20090110","3679","C127-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1303","20090110","3679","C152-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090111","3682","C150-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090111","3683","C123-1LB","No Product Name","2","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090111","3683","C154-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090111","3683","C157-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090111","3683","C156-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090112","3684","C124-5LB","No Product Name","1","47.45","5","4/14/2009 7:16:44 AM","x"
"1303","20090112","3685","C123-1LB","No Product Name","2","10.95","1","4/14/2009 7:16:44 AM","x"
"1303","20090112","3685","C153-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1306","20090112","3689","C136-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1306","20090112","3689","C116-5LB","No Product Name","1","47.95","5","4/14/2009 7:16:44 AM","x"
"1306","20090112","3690","C153-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1306","20090112","3690","C139-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1306","20090112","3690","C137-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1306","20090112","3690","C152-1LB","No Product Name","3","10.95","1","4/14/2009 7:16:44 AM","x"
"1306","20090112","3691","C116-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1306","20090112","3692","C155-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1306","20090112","3693","C137-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1307","20090113","3694","C131-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1307","20090113","3694","C136-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1307","20090113","3695","C129-5LB","No Product Name","1","47.45","5","4/14/2009 7:16:44 AM","x"
"1307","20090113","3696","C127-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1307","20090113","3696","C123-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1307","20090113","3696","C152-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1307","20090113","3697","C157-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1307","20090114","3698","C111-1LB","No Product Name","6","10.45","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3702","C152-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1308","20090114","3703","C118-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1308","20090114","3703","C118-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1308","20090114","3703","C124-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1308","20090114","3704","C151-5LB","No Product Name","1","49.95","5","4/14/2009 7:16:44 AM","x"
"1308","20090114","3704","C129-5LB","No Product Name","1","47.45","5","4/14/2009 7:16:44 AM","x"
"1308","20090114","3705","C139-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1308","20090114","3705","C179-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3706","C129-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3706","C109-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3707","C118-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3707","C182-2LB","No Product Name","1","20.95","2","4/14/2009 7:16:44 AM","x"
"1308","20090114","3708","C118-1LB","No Product Name","1","10.95","1","4/14/2009 7:16:44 AM","x"
"1308","20090114","3708","C111-1LB","No Product Name","1","10.45","1","4/14/2009 7:16:44 AM","x"
"1309","20090115","3709","C131-2LB","No Product Name","1","19.95","2","4/14/2009 7:16:44 AM","x"
"1309","20090115","3710","C172-1LB","No Product Name","1","11.25","1","4/14/2009 7:16:44 AM","x"
"1309","20090115","3711","C166-1LB","No Product Name","4","10.95","1","4/14/2009 7:16:44 AM","x"
"1309","20090115","3712","C117-5LB","No Product Name","1","47.45","5","4/14/2009 7:16:44 AM","x"
"1309","20090115","3712","C124-5LB","No Product Name","1","47.45","5","4/14/2009 7:16:44 AM","x"
